,name,yob
0,Chris Columbus,1958
1,Chris Columbus,1958
2,Daniel Radcliffe,1989
3,Rupert Grint,1988
4,Emma Watson,1990
5,Richard Harris,1930
6,Tom Felton,1987
7,Alan Rickman,1946
8,Robbie Coltrane,1950
9,Maggie Smith,1934
10,Richard Griffiths,1947
11,Ian Hart,1964
12,Fiona Shaw,1958
13,John Hurt,1940
14,David Bradley,1942
15,Matthew Lewis,1989
16,Sean Biggerstaff,1983
17,Warwick Davis,1970
18,Harry Melling,1989
19,James Phelps,1986
20,Oliver Phelps,1986
21,John Cleese,1939
22,Chris Rankin,1983
23,Alfred Enoch,1988
24,Devon Murray,1988
25,Jamie Waylett,1989
26,Josh Herdman,1990
27,Zoë Wanamaker,1990
28,Julie Walters,1950
29,Bonnie Wright,1991
30,Luke Youngblood,1986
31,Verne Troyer,1969
32,Adrian Rawlins,1958
33,Geraldine Somerville,1967
34,Elizabeth Spriggs,1929
35,Richard Bremmer,1953
36,Nina Young,1990
37,Terence Bayler,1930
38,Harry Taylor,1990
39,Jean Southern,1990
40,Leslie Phillips,1924
41,Simon Fisher-Becker,1961
42,Derek Deadman,1990
43,Ray Fearon,1990
44,Eleanor Columbus,1989
45,Ben Borowiecki,1990
46,Danielle Tabor,1984
47,Leilah Sutherland,1990
48,Emily Dale,1990
49,Will Theakston,1984
50,Scot Fearn,1990
51,Saunders Triplets,1990
52,Kieri Kennedy,1990
53,Leila Hoffman,1990
54,Julianne Hough,1988
55,Zoe Sugg,1990
56,Jimmy Vee,1990
57,Derek Hough,1985
58,Dani Harmer,1989
59,Mark Ballas,1986
60,Paul Marc Davis,1990
61,Violet Columbus,1990
62,Paul Grant,1973
63,David Yates,1963
64,David Yates,1963
65,Daniel Radcliffe,1989
66,Rupert Grint,1988
67,Emma Watson,1990
68,Helena Bonham Carter,1966
69,Robbie Coltrane,1950
70,Warwick Davis,1970
71,Ralph Fiennes,1962
72,Michael Gambon,1940
73,John Hurt,1940
74,Jason Isaacs,1963
75,Gary Oldman,1958
76,Alan Rickman,1946
77,Maggie Smith,1934
78,David Thewlis,1963
79,Julie Walters,1950
80,Tom Felton,1987
81,Kelly Macdonald,1976
82,David Bradley,1942
83,Ciarán Hinds,1990
84,Gemma Jones,1942
85,Dave Legeno,1963
86,Miriam Margolyes,1941
87,Helen McCrory,1968
88,Nick Moran,1969
89,James Phelps,1986
90,Oliver Phelps,1986
91,Clémence Poésy,1990
92,Natalia Tena,1984
93,Mark Williams,1959
94,Bonnie Wright,1991
95,Evanna Lynch,1991
96,Domhnall Gleeson,1983
97,Graham Duff,1990
98,Anthony Allgood,1990
99,Rusty Goffe,1990
